sub_dist,max_dist,flank_ratio,kmer,scale,window,Recall_bp,Precision_bp,F1-Score_bp,Recall_frag,Precision_frag,F1-Score_frag,Time(s)
0.1,0.1,0.1,15,10,1000,0.4376368921198733,0.9183714447636872,0.5927887225556636,0.1496,0.06513508862502151,0.09075563123564703,68.78333520889282
0.1,0.1,0.1,15,10,2000,0.4281463462839286,0.8395761569855489,0.5670980251804439,0.227,0.18444266238973536,0.20352038419783694,65.76989817619324
0.1,0.1,0.1,15,20,1000,0.3369460955563021,0.9191425192193968,0.4931204366756606,0.0992,0.052559655208661835,0.06871283134546373,35.85319924354553
0.1,0.1,0.1,15,20,2000,0.3264097867388936,0.8477629680579788,0.4713414248090053,0.1626,0.16566265060240964,0.16411703822240492,33.05237054824829
0.1,0.1,0.1,21,10,1000,0.8392124536667591,0.8790882201277681,0.8586876481562584,0.5304,0.19265129682997117,0.28264176632172017,53.321773290634155
0.1,0.1,0.1,21,10,2000,0.8340300913072004,0.7693686205793779,0.8003955299623622,0.6144,0.3861090365944735,0.4742093942321818,50.27745008468628
0.1,0.1,0.1,21,20,1000,0.8293662555120213,0.8809436144299644,0.854377232637719,0.5062,0.1798409234884212,0.26539371735125156,32.56199026107788
0.1,0.1,0.1,21,20,2000,0.8269911512614353,0.7711996189556164,0.7981215667336993,0.6072,0.3764720314033366,0.46477649088383055,29.6721408367157
0.1,0.1,0.1,31,10,1000,0.8523563109288219,0.8575905052240277,0.8549653970699825,0.601,0.2580150068212824,0.361034482210978,52.887606143951416
0.1,0.1,0.1,31,10,2000,0.8632778492731682,0.7274828575734361,0.7895842963257879,0.671,0.4701045296167247,0.552868087341258,48.00044560432434
0.1,0.1,0.1,31,20,1000,0.8453680331929583,0.8587873517396121,0.8520248574631367,0.5644,0.22534317226057288,0.32208872679409134,30.363454818725586
0.1,0.1,0.1,31,20,2000,0.8563108743853792,0.7320977313606769,0.7893475850095447,0.6656,0.45657500680642527,0.5416201977180172,28.44823384284973
0.1,0.15,0.1,15,10,1000,0.5125911626713423,0.8862559072272062,0.649516241890382,0.231,0.10004278990158323,0.13961871499534026,70.11823511123657
0.1,0.15,0.1,15,10,2000,0.5108854831832523,0.7850943573864468,0.618980785907138,0.3208,0.24675918865334756,0.2789501053020331,67.87780523300171
0.1,0.15,0.1,15,20,1000,0.3884130143925598,0.8912503965392934,0.5410379794266481,0.143,0.07157037919396467,0.09539587209738053,35.79936170578003
0.1,0.15,0.1,15,20,2000,0.3830644753015977,0.7965225138121547,0.5173327302441766,0.218,0.20212765957446807,0.20976400283601743,33.21704459190369
0.1,0.15,0.1,21,10,1000,0.9836447111723929,0.8332719521157991,0.9022357108923632,0.857,0.4875368230228869,0.6215063063743281,51.05613613128662
0.1,0.15,0.1,21,10,2000,0.9926204684224109,0.6852396634432346,0.8107742746736941,0.8472,0.6987021521274848,0.7658187970923918,47.80114674568176
0.1,0.15,0.1,21,20,1000,0.9721609155448769,0.7922842485173547,0.8730538030857733,0.8008,0.3360860860860861,0.47346474027892776,29.459059476852417
0.1,0.15,0.1,21,20,2000,0.9863482857431215,0.6986469761287832,0.8179361246140141,0.8436,0.6463507542282493,0.7319188164032717,28.17622208595276
0.1,0.15,0.1,31,10,1000,0.9641426977266304,0.8319322412275185,0.8931714128252617,0.8026,0.419237182159233,0.5507767602985739,50.66152238845825
0.1,0.15,0.1,31,10,2000,0.9851326080518016,0.6764929876500524,0.8021485742351673,0.8266,0.6742485783915516,0.7426916784579923,46.07817530632019
0.1,0.15,0.1,31,20,1000,0.923443733498685,0.8446296993946323,0.8822801005006824,0.6774,0.28569029224051057,0.40188672967205624,29.32089114189148
0.1,0.15,0.1,31,20,2000,0.9748574496513355,0.6871686855754711,0.8061142939956815,0.8082,0.6018655611489487,0.6899363546248583,27.219290494918823
